token,triplet,source_outgoing_count,source_weight,policy_tvd,policy_js_bits,policy_kl_bits,classical_sequence_js_bits,ideal_sequence_js_bits,noisy_sequence_js_bits
0,"(-38, 1, 0)",1,0.0002069108214359611,0.9346415444972125,0.8193304459448809,3.941908779816988,0.9985614294040009,0.8193304459448809,0.9984990533090701
1,"(-38, 1, 82)",3,0.0006207324643078833,0.9725965310757796,0.905880998699546,5.225475868643086,0.905880998699546,0.31095689953030736,0.9987673746572212
2,"(-36, 1, 0)",1,0.0002069108214359611,0.9346415444972125,0.8193304459448809,3.941908779816988,0.8193304459448809,0.8193304459448809,0.8193304459448809
3,"(-23, 1, 0)",2,0.0004138216428719222,0.9346415444972125,0.8193304459448809,3.941908779816988,0.8193304459448809,0.8193304459448809,0.8193304459448809
4,"(-19, 1, 0)",3,0.0006207324643078833,0.9253590749535412,0.8067292046486876,3.9548993983072727,0.8067292046486876,0.8067292046486876,0.998461022260807
5,"(-18, 1, 0)",1,0.0002069108214359611,0.9346415444972125,0.8193304459448809,3.941908779816988,0.8193304459448809,0.8193304459448809,0.9978547163645454
6,"(-17, 1, 0)",6,0.0012414649286157666,0.8937986785050589,0.7618254280822504,4.016735894257944,0.7618254280822504,0.7618254280822504,0.9981666942181935
7,"(-17, 24, 0)",1,0.0002069108214359611,0.9965246747883543,0.9817969196819001,8.636708019650952,0.9817969196819001,0.9817969196819001,0.9817969196819001
8,"(-15, 1, 0)",15,0.0031036623215394167,0.15839479661366918,0.0809425532920869,0.24194318358399536,0.1191956186315072,0.5288093339274421,0.99849537207474
9,"(-14, 1, 0)",14,0.0028967515001034555,0.15398120999380538,0.0785623045658455,0.2346740440498065,0.9979247423930065,0.7627279860915654,0.7627279860915654
10,"(-13, 1, 0)",1,0.0002069108214359611,0.9897175304563286,0.9562624712047458,6.731843310104316,0.9562624712047458,0.9562624712047458,0.9989077668785884
11,"(-12, 1, 0)",40,0.008276432857438443,0.15027379723311995,0.0766352312170264,0.22887846661831224,0.29114363093095635,0.7473014937684561,0.7473014937684561
12,"(-11, 1, 0)",7,0.0014483757500517278,0.9346415444972125,0.8193304459448809,3.941908779816988,0.8193304459448809,0.8193304459448809,0.9985633294258704
13,"(-10, 1, 0)",37,0.007655700393130561,0.14699390594393688,0.07386689116920316,0.22068608468631423,0.20222876577187826,0.20222876577187826,0.9979701474070665
14,"(-10, 1, 1)",18,0.0037243947858473,0.15938344001651866,0.08147771129918976,0.24357995690628367,0.0,0.8123143203629164,0.9985186135972929
